date,read,link
5월 4일,시편 109-113편,https://www.youtube.com/playlist?list=PL-MVshquUXWEhN5pONEia9TlaGE0xA6a-
5월 6일,시편 114-118편,https://www.youtube.com/playlist?list=PL-MVshquUXWGADdDn_kxzRSX802z99isv
5월 7일,시편 119편,https://www.youtube.com/playlist?list=PL-MVshquUXWG4naJfrubARbgzz4_8Eux8
5월 8일,시편 120-134편,https://www.youtube.com/playlist?list=PL-MVshquUXWEBbUhl4ZmDHhjyh-iMRMTm
5월 9일,시편 135-142편,https://www.youtube.com/playlist?list=PL-MVshquUXWETkrBCyGLfJlEIn9Rfwd2R
5월 10일,시편 143-150편,https://www.youtube.com/playlist?list=PL-MVshquUXWHOL50F-PxWdn29FYyjZ3GC
5월 11일,열왕기상 12-14장,https://www.youtube.com/playlist?list=PL-MVshquUXWGW_OPekV1NUUovQiJhX3ag
5월 13일,왕상 15장-16:20절,https://www.youtube.com/playlist?list=PL-MVshquUXWEq96mocr3IpiNdrS1Pw2Hm
5월 14일,왕상 16:21절-17장,https://www.youtube.com/playlist?list=PL-MVshquUXWHuVRSmUpwPdLth1q_Q8Rf-
5월 15일,열왕기상 18-19장,https://www.youtube.com/playlist?list=PL-MVshquUXWHaxYwaPzAwtqqB2UllRm5W
5월 16일,열왕기상 20-22장,https://www.youtube.com/playlist?list=PL-MVshquUXWHZlNUJYNSEJm4mCj1I37G_
5월 17일,열왕기하 1-2장,https://www.youtube.com/playlist?list=PL-MVshquUXWFXa6ybG1aTMlS3NEGgBHH3
5월 18일,열왕기하 3-5장,https://www.youtube.com/playlist?list=PL-MVshquUXWFBu_vKYdbkI9iydmhFC0N9
5월 20일,열왕기하 6-8장,https://www.youtube.com/playlist?list=PL-MVshquUXWGEYFu3di01q9zvteyn2KNb
5월 21일,열왕기하 9-10장,https://www.youtube.com/playlist?list=PL-MVshquUXWHxqpT-a0rwYIA9iEHjn78O
5월 22일,열왕기하 11-14장,https://www.youtube.com/playlist?list=PL-MVshquUXWGie2-yfLSmRwQcVH4o8Rgj
5월 23일,아모스 1-5장,https://www.youtube.com/playlist?list=PL-MVshquUXWFcYvxZemJ_azNDRVGQ-aoJ
5월 24일,아모스 6-9장,https://www.youtube.com/playlist?list=PL-MVshquUXWFVQ8cpWNlA-v8dTQaRHgwA
5월 25일,호세아 1-4장,https://www.youtube.com/playlist?list=PL-MVshquUXWGKsNLgyjpzH3T6En-RqTD7
5월 27일,호세아 5-9장,https://www.youtube.com/playlist?list=PL-MVshquUXWFz_UWj5nLHdQjD6HKBYfkU
5월 28일,호세아 10-14장,https://www.youtube.com/playlist?list=PL-MVshquUXWGIS4B5Xh7nbwqcwZfv9uHn
5월 29일,요나서 1-4장,https://www.youtube.com/playlist?list=PL-MVshquUXWGrBzaSKzwcDI2L14eLtbLS
5월 30일,열왕기하 15-16장,https://www.youtube.com/playlist?list=PL-MVshquUXWH6LE7_TcAPP1qtFp860gHF
5월 31일,열왕기하 17장-18:12절,https://www.youtube.com/playlist?list=PL-MVshquUXWEPg34gAUWTjdZ-BdJRXrlx
6월 1일,이사야 1-3장,https://www.youtube.com/playlist?list=PL-MVshquUXWGXYl0UU_fvfqCbkNVvi9DN
6월 3일,이사야 4-7장,https://www.youtube.com/playlist?list=PL-MVshquUXWHrfcqF-y-P66PJPwrTHPST
6월 4일,이사야 8-12장,https://www.youtube.com/playlist?list=PL-MVshquUXWHkE-ELEB7BPxhJ7uZCuA5C
6월 5일,이사야 13-17장,https://www.youtube.com/playlist?list=PL-MVshquUXWFH4uC0ueaL6RpcyQvX89ym
